CNES - Recursos Físicos - Equipamentos - Brasil
Equipamentos Existentes por Unidade da Federação e Ano/mês compet.
Região: 1 Região Norte, 2 Região Nordeste, 3 Região Sudeste, 4 Região Sul, 5 Região Centro-Oeste
Unidade da Federação: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Esfera Administrativa: Federal, Estadual, Municipal, Privada, Esfera não informada
Equipamento: .. RESPIRADOR/VENTILADOR
Grupo de Equipamentos: Equipamentos para Manutencao da Vida
Período:2012-2022
"Unidade da Federação";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez"
"24 Rio Grande do Norte";532;550;550;535;535;535;535;551;551;552;551;551;551;550;550;554;554;555;559;555;554;555;555;557;547;550;546;549;573;578;583;598;599;599;624;624;542;570;583;585;563;554;575;595;595;595;598;603;603;604;611;625;639;657;657;657;642;647;646;638;638;638;651;652;665;674;702;703;703;701;703;709;709;708;708;712;713;712;716;715;715;675;687;687;733;733;733;736;770;754;755;730;743;781;781;764;757;807;870;949;1025;1027;1048;1075;1084;1093;1092;1114;1147;1261;1394;1424;1384;1405;1416;1404;1379;1375;1368;1368;1371;1371;1292;1294;1312;1302;1300;1303;1328;1328;1330;1330
"25 Paraíba";519;526;541;549;553;560;544;545;570;579;583;584;586;585;594;621;621;624;629;641;647;640;640;640;642;643;649;649;646;653;653;655;666;666;725;725;736;735;734;740;740;735;753;748;760;760;804;821;821;825;824;824;823;824;822;828;829;834;842;843;850;853;853;854;856;859;845;854;847;847;855;858;858;858;880;880;924;937;937;936;936;942;937;937;931;942;943;948;946;946;946;946;947;935;920;920;917;918;954;975;1053;1074;1120;1124;1146;1136;1138;1160;1160;1166;1210;1229;1271;1289;1306;1312;1327;1270;1264;1264;1275;1275;1273;1280;1292;1293;1295;1231;1232;1232;1261;1261
"26 Pernambuco";2051;2093;2099;2100;2107;2104;2109;2247;2292;2292;2313;2321;2321;2316;2331;2322;2330;2338;2335;2339;2339;2349;2355;2362;2363;2364;2359;2322;2373;2374;2443;2445;2443;2446;2435;2435;2307;2355;2407;2400;2404;2400;2422;2480;2517;2518;2518;2524;2525;2526;2516;2552;2564;2574;2595;2592;2630;2631;2648;2675;2695;2695;2697;2680;2683;2686;2692;2699;2726;2760;2761;2762;2769;2775;2768;2777;2811;2817;2817;2842;2876;2866;2868;2872;2871;2872;2879;2890;2888;2760;2792;2791;2845;2901;2937;2908;2847;2897;3148;3269;3321;3339;3467;3490;3446;3468;3389;3425;3443;3426;3557;3694;3750;3822;3845;3843;3854;3874;3914;3926;3821;3832;3837;3846;3840;3830;3868;3877;3919;4039;4092;4091
"27 Alagoas";302;302;300;308;313;312;312;312;317;331;331;360;360;360;360;372;387;386;385;385;397;400;400;405;405;405;405;415;417;417;417;410;408;408;408;408;405;405;405;438;438;438;438;437;437;437;437;437;437;448;450;454;454;454;454;458;458;456;451;451;451;452;452;453;460;460;460;460;460;468;468;486;487;487;487;485;474;474;475;475;475;464;467;467;472;519;526;526;527;527;527;527;527;527;549;549;549;550;585;669;705;740;746;737;741;770;780;776;780;878;910;912;922;922;922;958;963;964;965;965;1015;1015;1015;1015;1015;1015;1016;1047;1061;1061;1061;1061
"28 Sergipe";363;363;363;366;367;483;479;480;477;481;481;483;483;485;485;484;484;484;485;485;486;486;486;486;486;486;486;486;486;486;488;488;488;488;488;488;485;483;483;525;525;525;525;525;525;525;525;525;525;523;524;524;524;524;524;524;524;527;516;505;505;505;505;505;505;506;506;506;506;506;506;508;506;505;505;505;505;505;505;505;504;516;516;516;504;516;516;516;515;515;515;515;515;515;515;516;517;511;539;557;589;625;689;796;796;794;751;751;754;808;839;839;858;859;857;882;862;864;864;863;863;840;840;840;838;838;836;836;834;886;886;886
"29 Bahia";2259;2286;2302;2313;2321;2335;2367;2384;2397;2400;2401;2406;2412;2413;2428;2450;2461;2462;2531;2532;2533;2544;2546;2530;2539;2541;2544;2557;2581;2629;2636;2638;2637;2648;2650;2657;2651;2649;2623;2627;2562;2582;2603;2580;2627;2686;2697;2697;2707;2709;2650;2668;2666;2713;2733;2751;2751;2749;2750;2706;2752;2784;2774;2780;2774;2822;2830;2858;2871;2870;2897;2922;2902;2963;2967;2997;2989;2920;3027;3052;3057;3051;3042;3077;3088;3092;3186;3168;3203;3198;3193;3207;3138;3161;3175;3165;3181;3194;3262;3514;3731;3882;4119;4202;4244;4318;4324;4371;4377;4588;4689;4851;4880;4930;5002;5028;4970;4974;4978;4981;4972;4940;4982;4991;5090;5068;5082;5082;4976;5068;5058;5031
"31 Minas Gerais";3989;3995;4051;4065;4079;4089;4090;4128;4157;4172;4215;4324;4362;4375;4399;4403;4436;4439;4466;4480;4498;4520;4576;4579;4609;4608;4642;4674;4731;4741;4769;4798;4914;4912;4931;4976;5023;5058;5123;5221;5233;5282;5322;5331;5375;5381;5441;5460;5468;5500;5459;5494;5566;5587;5615;5634;5658;5594;5602;5631;5641;5643;5645;5651;5696;5715;5707;5745;5826;5819;5862;5876;5875;5920;5920;5928;6011;6012;6036;6121;6121;6115;6094;6119;6151;6187;6108;6268;6286;6294;6260;6272;6287;6305;6325;6327;6319;6263;6329;6757;6978;7130;7401;7793;7999;8106;8200;8297;8415;8573;9074;9697;9983;10116;10211;10257;10304;10299;10281;10258;10390;10500;10445;10439;10469;10440;10487;10512;10545;10555;10610;10607
"32 Espírito Santo";904;908;909;910;912;913;916;923;922;930;932;931;963;962;963;963;1024;1024;1028;1043;1079;1080;1083;1084;1087;1118;1111;1108;1106;1104;1108;1118;1132;1165;1160;1160;1113;1113;1116;1122;1118;1129;1108;1162;1165;1180;1182;1189;1182;1210;1180;1177;1256;1258;1260;1262;1271;1271;1271;1267;1299;1299;1306;1300;1302;1301;1312;1313;1320;1329;1329;1353;1357;1375;1375;1374;1375;1382;1382;1387;1402;1410;1401;1404;1431;1439;1442;1489;1503;1507;1517;1525;1513;1519;1519;1522;1465;1468;1485;1555;1640;1834;1869;1908;1917;1913;1894;1895;1895;1906;2073;2631;2722;2728;2763;2768;2778;2794;2797;2829;2835;2836;2856;2857;2857;2836;2837;2840;2841;2839;2845;2842
"33 Rio de Janeiro";6097;6099;6128;6249;6282;6281;6303;6414;6506;6531;6689;6719;6669;6668;6717;6715;6781;6839;6824;6883;6936;6918;6912;6861;6927;6958;6987;7048;7065;7104;7177;7193;7196;7282;7363;7472;6871;6831;6911;6903;6957;6965;6928;6998;7013;7053;7136;7231;7224;7189;6770;6952;6967;7065;7198;7145;7297;7286;7448;7356;7495;7542;7541;7766;7810;7781;7785;7813;7823;7714;7735;7658;7659;7750;7810;7862;7902;7913;8051;8145;8309;7718;7800;7851;7975;8195;8246;8312;8301;8414;8426;8381;8297;8164;8056;7891;7279;7527;7974;8708;9121;9529;9789;9887;9972;10017;10032;10203;10446;10322;10604;10547;10693;10588;10784;10836;10906;10905;10888;10918;10984;11075;11062;10942;11042;11179;11175;11242;11143;11159;11141;11187
"35 São Paulo";13685;13703;13775;13791;13827;13910;14036;14148;14149;14197;14235;14260;14318;14337;14332;14322;14392;14513;14607;14617;14663;14733;14791;14852;14861;14886;14880;14904;14952;15075;15120;15221;15291;15387;15459;15458;15435;15467;15546;15699;15789;15721;15934;16191;16215;16165;16115;16130;16250;16283;16335;16333;16338;16384;16461;16498;16585;16603;16628;16692;16728;16806;16868;16896;16953;17005;17068;17130;17182;17267;17392;17711;17864;17977;18054;18208;18192;18188;18265;18401;18511;18378;18576;18632;18650;18655;18602;18716;18763;18683;18500;18616;18714;18690;18699;18807;18465;18548;18715;19244;19955;20893;22031;22527;22698;22681;22716;22757;22875;23151;23790;24328;24650;24850;24903;25017;24881;24924;24802;24958;25189;25227;25158;25204;25289;25224;25286;25357;25312;25205;25563;25504
"41 Paraná";2320;2338;2374;2382;2414;2422;2435;2446;2455;2459;2473;2483;2484;2484;2483;2498;2507;2532;2532;2544;2545;2550;2573;2597;2611;2615;2632;2656;2682;2692;2687;2709;2722;2747;2777;2776;2809;2824;2940;2948;2950;2969;2981;3008;3029;3028;3049;3053;3057;3058;3079;3107;3103;3137;3147;3151;3184;3199;3192;3186;3208;3237;3276;3281;3286;3313;3311;3358;3360;3404;3467;3527;3526;3533;3554;3564;3581;3580;3580;3643;3640;3654;3688;3689;3668;3694;3714;3706;3707;3697;3700;3698;3709;3728;3759;3774;3778;3784;3805;3993;4159;4197;4395;4413;4549;4525;4589;4595;4609;4629;4857;4985;5022;5193;5246;5278;5244;5244;5296;5298;5321;5320;5338;5339;5335;5340;5356;5351;5360;5478;5486;5520
"42 Santa Catarina";1071;1077;1066;1070;1073;1073;1091;1099;1105;1105;1104;1109;1109;1115;1134;1180;1200;1208;1215;1262;1279;1303;1298;1293;1283;1305;1364;1387;1407;1410;1415;1418;1427;1430;1488;1516;1513;1532;1547;1573;1582;1590;1591;1569;1570;1581;1592;1593;1600;1599;1626;1637;1681;1682;1721;1723;1747;1756;1772;1795;1795;1798;1777;1776;1805;1808;1824;1840;1846;1867;1870;1893;1899;1920;1915;1920;1923;1889;1893;1902;1921;1921;1919;2059;2057;2057;2083;2087;2050;2053;2008;2029;2053;2068;2100;2111;2117;2119;2191;2216;2269;2218;2514;2571;2586;2607;2634;2680;2708;2893;2979;3030;3173;3222;3227;3303;3310;3321;3334;3339;3362;3363;3374;3380;3421;3423;3439;3447;3450;3449;3460;3446
"43 Rio Grande do Sul";2269;2320;2329;2344;2343;2361;2370;2377;2385;2386;2386;2396;2396;2398;2409;2418;2426;2426;2427;2427;2438;2483;2503;2506;2512;2493;2499;2508;2528;2539;2544;2553;2574;2629;2634;2612;2627;2613;2654;2656;2662;2813;2833;2836;2835;2835;2863;2869;2887;2922;2942;2967;2961;3038;3041;3048;3081;3079;3084;3076;3096;3099;3121;3122;3126;3126;3126;3132;3145;3166;3188;3194;3194;3194;3227;3228;3232;3240;3242;3239;3259;3274;3353;3361;3377;3416;3416;3430;3426;3423;3433;3437;3446;3458;3462;3468;3472;3485;3523;3865;3908;4057;4262;4310;4405;4426;4444;4448;4449;4642;4930;4968;5085;5119;5101;5109;5111;5106;5105;5100;5120;5119;5122;5122;5121;5126;5135;5131;5130;5157;5203;5206
"50 Mato Grosso do Sul";557;563;567;563;562;600;600;601;602;602;600;604;604;604;604;605;629;630;636;637;641;642;643;643;646;646;646;646;652;654;660;668;660;665;665;665;669;670;670;698;692;689;687;687;692;690;690;690;686;702;707;710;712;716;711;711;725;754;754;754;753;753;753;754;756;758;757;758;755;755;733;734;736;735;735;749;750;751;762;763;776;775;852;866;873;866;866;867;874;881;883;885;885;890;889;907;907;909;918;1012;1026;1063;1109;1166;1187;1186;1181;1183;1198;1202;1240;1240;1240;1354;1382;1397;1403;1403;1408;1407;1378;1363;1432;1432;1433;1435;1435;1484;1491;1492;1491;1491
"51 Mato Grosso";674;670;680;683;660;702;717;720;739;739;739;740;741;741;747;755;754;776;776;775;775;778;777;791;786;786;806;808;803;803;813;813;814;827;824;825;799;812;818;879;881;869;893;958;976;978;981;1002;1014;1092;1095;1059;1093;1058;1073;1073;1070;1070;1074;1094;1107;1116;1114;1129;1134;1133;1133;1137;1146;1131;1140;1145;1153;1170;1153;1214;1243;1228;1228;1213;1202;1244;1254;1360;1338;1342;1338;1354;1360;1372;1409;1365;1383;1391;1422;1430;1402;1404;1415;1510;1549;1646;1763;1753;1735;1747;1769;1747;1749;1770;1756;1807;1941;2096;2066;2105;2148;2109;2148;2268;2274;2271;2269;2306;2342;2325;2320;2311;2326;2265;2252;2264
"52 Goiás";1009;1016;1016;1022;1018;1028;1030;1032;1035;1040;1056;1056;1055;1055;1057;1056;1054;1071;1095;1102;1103;1114;1114;1115;1120;1149;1160;1160;1156;1158;1166;1170;1173;1177;1181;1181;1185;1181;1181;1197;1248;1248;1260;1286;1277;1273;1295;1301;1310;1324;1324;1332;1404;1406;1407;1415;1416;1430;1429;1444;1451;1455;1488;1495;1496;1500;1500;1508;1509;1522;1516;1516;1524;1554;1554;1556;1559;1571;1594;1582;1596;1594;1579;1576;1576;1576;1577;1575;1602;1649;1660;1660;1674;1689;1693;1693;1716;1728;1757;1848;1904;1979;2041;2188;2251;2265;2266;2367;2392;2564;2789;2824;2844;2896;3098;3251;3282;3285;3277;3279;3490;3430;3405;3407;3522;3554;3558;3517;3479;3560;3596;3616
"53 Distrito Federal";886;886;899;910;905;964;953;975;986;986;988;1003;1005;1006;1006;1006;1005;993;989;983;983;981;981;989;1025;1033;1038;1038;1026;1030;1030;1191;1187;1188;1183;1190;1147;1162;1233;1293;1294;1337;1367;1342;1343;1424;1389;1391;1393;1386;1377;1362;1318;1252;1284;1284;1283;1263;1297;1353;1344;1309;1239;1244;1191;1196;1250;1319;1377;1383;1388;1397;1429;1431;1431;1438;1440;1506;1556;1528;1517;1500;1515;1516;1571;1678;1833;1914;1914;1884;1860;1859;1890;1911;1953;2010;2055;2127;2158;2169;2279;2261;2428;2416;2399;2479;2480;2445;2467;2466;2557;2587;2892;2859;2860;2863;2863;2872;2801;2705;2709;2711;2714;2719;2666;2360;2360;2350;2350;2350;2314;2218
"Total";43611;43976;44266;44512;44644;45175;45446;45957;46268;46376;46705;46990;47080;47125;47299;47451;47822;48095;48369;48577;48850;49160;49322;49415;49705;49835;50016;50207;50523;50779;51129;51553;51828;52190;52572;52762;51823;51934;52513;53046;53180;53390;53804;54347;54639;54808;55013;55224;55428;55647;55161;55350;55699;56027;56426;56571;57041;57052;57340;57404;57806;58015;58118;58481;58686;58797;59068;59478;59786;59904;60238;60769;61009;61480;61749;62144;62396;62421;62902;63288;63737;63009;63490;63874;64199;64728;64986;65541;65700;65615;65331;65476;65707;65845;66011;66012;64867;65411;67051;70516;73383;76180;79987;81778;82632;83159;83277;83948;84591;86219;90177;93045;95128;96297;97130;97853;97829;97858;97977;98169;98705;98909;98958;99029;99595;99372;99634;99632;99472;99656;100105;99980
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
